server time    : 2020-10-28 16:08:37(1603868917)
delay time     : 2.480
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
     1,      0.457,      2,      9,      9
     2,           ,     10,      2,     10
     3,           ,     11,      1,      9
     4,           ,     12,      2,     13
     5,           ,      8,      5,      6
     6,           ,      3,     11,      5
     7,           ,     10,      0,      2
     8,           ,      3,      1,      3
     9,           ,     -2,      2,      3
    10,           ,     -4,      2,     -1
    11,           ,     -7,      5,     -1
    12,           ,     -2,     -3,     -4
    13,           ,     -5,     -2,      1
    14,           ,     -9,      2,     -1
    15,           ,    -11,     -2,      1
    16,           ,     -9,     -3,     -2
    17,           ,     -7,      0,      2
    18,           ,     -6,     -9,      3
    19,           ,     -7,     -3,      6
    20,           ,    -11,     -2,      7
    21,           ,    -12,      2,      6
    22,           ,     -6,      2,      8
    23,           ,     -5,      0,     11
    24,           ,      0,      6,      7
    25,           ,     -3,      2,     10
    26,           ,     -2,      5,     11
    27,           ,     10,      1,     10
    28,           ,     11,      0,     10
    29,           ,      4,      5,      9
    30,           ,      6,      5,      9
    31,           ,      7,     12,      3
    32,           ,     10,      2,      6
    33,           ,      7,      9,      3
    34,           ,      8,      2,      8
    35,           ,      7,      9,      0
    36,           ,      4,     10,     -7
    37,           ,      7,      6,     -5
    38,           ,     -3,      5,    -10
    39,           ,     -5,      7,     -5
    40,           ,    -12,      1,     -6
    41,           ,     -7,      5,     -9
    42,           ,    -11,      3,    -10
    43,           ,    -12,     -2,     -9
    44,           ,    -15,     -1,     -7
    45,           ,    -13,     -7,     -9
    46,           ,    -16,     -7,    -10
    47,           ,    -16,     -8,     -8
    48,           ,    -11,    -14,     -8
    49,           ,    -12,     -9,      0
    50,           ,    -13,    -11,     -2
    51,           ,     -7,    -15,      0
    52,           ,     -7,    -11,     -1
    53,           ,     -6,    -12,      7
    54,           ,      0,    -11,      8
    55,           ,      0,     -5,     10
    56,           ,     -2,     -1,     11
    57,           ,      5,     -1,      7
    58,           ,      8,      1,     10
    59,           ,      0,      1,      8
    60,           ,      2,      5,      5
    61,           ,      2,      8,     -2
    62,           ,      3,      5,      0
    63,           ,      3,      3,     -2
    64,           ,     -3,      0,     -7
    65,           ,    -10,      1,    -11
    66,           ,     -6,      5,    -15
    67,           ,     -7,     -1,    -14
    68,           ,     -6,     -5,    -15
    69,           ,     -4,     -8,    -12
    70,           ,     -5,     -8,    -16
    71,           ,    -10,     -3,    -16
    72,           ,     -4,     -6,    -12
    73,           ,     -5,     -5,     -4
    74,           ,     -4,    -10,      0
    75,           ,     -6,     -4,      0
    76,           ,     -5,     -2,      2
    77,           ,      2,     -4,      4
    78,           ,      0,      0,      7
    79,           ,      4,      2,      6
    80,           ,      7,      1,      9
    81,           ,      3,      9,      3
    82,           ,      8,      8,     -2
    83,           ,      5,      8,      0
    84,           ,      7,      5,      5
    85,           ,      0,     10,     -1
    86,           ,     -2,      6,     -5
    87,           ,      0,      4,     -9
    88,           ,      0,      2,     -9
    89,           ,     -3,      7,    -10
    90,           ,     -3,      3,     -9
    91,           ,     -8,      7,    -19
    92,           ,     -1,     -2,     -9
    93,           ,     -9,      0,    -10
    94,           ,     -4,     -3,     -6
    95,           ,     -7,     -5,     -6
    96,           ,     -9,     -2,     -7
    97,           ,     -4,     -4,     -4
    98,           ,      2,     -4,     -4
    99,           ,      7,     -4,      1
   100,           ,      3,     -4,      3
   101,           ,      5,      8,     -2
   102,           ,      8,     -5,     -2
   103,           ,     11,     -2,      3
   104,           ,     15,     -2,      4
   105,           ,     10,     -2,      1
   106,           ,     10,      4,      3
   107,           ,     15,      4,     -5
   108,           ,     14,     -3,     -4
   109,           ,     14,     -1,      1
   110,           ,      8,      0,     -2
   111,           ,      4,      0,     -7
   112,           ,     10,      4,     -5
   113,           ,      9,     -5,     -3
   114,           ,      3,      0,     -1
   115,           ,     -1,      2,     -7
   116,           ,     -8,      2,     -7
   117,           ,     -5,     -3,     -6
   118,           ,      4,     -5,     -3
   119,           ,     -4,     -2,      0
   120,           ,     -5,     -1,      2
   121,           ,    -10,      0,      2
   122,           ,     -1,      0,      4
   123,           ,      3,     -6,      5
   124,           ,      2,      0,      9
   125,           ,      4,      0,      4
   126,           ,      6,      4,     -1
   127,           ,      7,      3,      5
   128,           ,     11,     -1,     -1
   129,           ,      9,      2,      0
   130,           ,     14,      0,      1
   131,           ,     11,      1,      1
   132,           ,     12,     -3,     -5
   133,           ,     16,     -4,      4
   134,           ,     14,     -4,      1
   135,           ,      9,     -1,      1
   136,           ,      4,      4,     -2
   137,           ,      4,      2,     -2
   138,           ,      6,     -2,      1
   139,           ,      1,     -3,      4
   140,           ,     -3,     -2,     -1
   141,           ,    -10,      6,     -4
   142,           ,     -4,      0,      1
   143,           ,     -3,     -4,      2
   144,           ,     -6,     -4,      1
   145,           ,     -8,     -1,      7
   146,           ,    -10,     -2,      2
   147,           ,     -8,      0,      2
   148,           ,     -6,     -6,      7
   148,      0.504,     -5,     -7,      5
   149,           ,     -5,     -4,      5
   150,           ,     -4,     -1,     -1
   151,           ,      1,      1,      4
   152,           ,      9,     -5,      2
   153,           ,      6,      2,     12
   154,           ,     10,     -3,      5
   155,           ,     12,      5,      4
   156,           ,     11,     -1,      7
   157,           ,      8,     -1,      6
   158,           ,     12,      1,      6
   159,           ,      8,      3,      6
   160,           ,      3,      5,      3
   161,           ,     11,      2,     -6
   162,           ,      8,      2,      0
   163,           ,     11,      4,      1
   164,           ,     -1,      2,     -5
   165,           ,     -4,      5,      1
   166,           ,      1,      0,      0
   167,           ,     -3,      1,     -6
   168,           ,     -9,     -1,      2
   169,           ,    -11,      0,     -1
   170,           ,    -13,      5,     -4
   171,           ,     -8,     -4,     -2
   172,           ,    -14,     -1,      1
   173,           ,     -8,     -4,      2
   174,           ,    -11,     -9,      8
   175,           ,    -14,      0,      2
   176,           ,     -6,     -3,      8
   177,           ,     -1,     -3,      4
   178,           ,     -2,     -4,     13
   179,           ,     -4,      1,     10
   180,           ,     -3,      6,     15
   181,           ,      3,      3,      9
   182,           ,      7,      3,     13
   183,           ,     12,      4,      9
   184,           ,      2,      6,     10
   185,           ,      9,      8,      9
   186,           ,      8,      4,      7
   187,           ,     13,     -1,      7
   188,           ,     11,      4,      5
   189,           ,      8,      8,      0
   190,           ,      3,      9,     -2
   191,           ,      7,      6,     -1
   192,           ,     -2,      3,     -4
   193,           ,      3,      9,      1
   194,           ,     -1,      3,     -4
   195,           ,    -13,      6,     -9
   196,           ,    -12,      2,     -8
   197,           ,     -6,     -8,     -3
   198,           ,    -11,     -4,     -6
   199,           ,    -14,    -11,    -12
   200,           ,    -10,     -2,    -11
   201,           ,    -12,    -10,     -8
   202,           ,    -15,     -9,     -5
   203,           ,    -12,     -5,     -4
   204,           ,    -14,    -10,      0
   205,           ,     -9,     -5,      0
   206,           ,     -3,     -6,     -1
   207,           ,      4,    -10,      2
   208,           ,      0,     -7,      8
   209,           ,      0,     -2,      5
   210,           ,      5,     -3,      7
   211,           ,      8,      2,      8
   212,           ,      9,     -2,     10
   213,           ,      9,      0,     12
   214,           ,      8,      3,     10
   215,           ,      5,      7,      8
   216,           ,     12,      4,      0
   217,           ,      7,      4,     -1
   218,           ,      5,      9,     -4
   219,           ,     -4,      6,     -4
   220,           ,    -11,     11,    -12
   221,           ,     -4,      3,    -14
   222,           ,     -7,      1,    -13
   223,           ,     -4,     -6,     -9
   224,           ,     -9,     -3,    -14
   225,           ,     -7,     -1,    -12
   226,           ,     -4,     -9,     -8
   227,           ,     -2,     -9,     -7
   228,           ,     -6,     -9,     -4
   229,           ,     -9,     -5,      2
   230,           ,     -5,     -5,      6
   231,           ,      4,     -9,      4
   232,           ,      4,     -2,      7
   233,           ,      4,      1,      6
   234,           ,      4,      1,      4
   235,           ,     -1,      8,      8
   236,           ,      7,      6,      4
   237,           ,      6,      4,      4
   238,           ,      6,      7,      4
   239,           ,      3,      5,     -1
   240,           ,      0,      9,      1
   241,           ,      4,      7,    -10
   242,           ,      3,      8,     -8
   243,           ,     -2,      5,     -8
   244,           ,     -3,      6,     -8
   245,           ,     -5,      7,    -14
   246,           ,     -6,      8,    -19
   247,           ,      0,     -3,    -13
   248,           ,     -8,      1,     -8
   249,           ,     -7,      0,     -9
   250,           ,     -6,     -4,     -8
   251,           ,     -4,     -2,     -6
   252,           ,      2,     -5,      0
   253,           ,     -2,     -6,      2
   254,           ,     -1,     -4,     -2
   255,           ,     -1,      1,     -2
   256,           ,     10,      0,     -1
   257,           ,      9,     -3,      2
   258,           ,     13,     -4,      1
   259,           ,     10,      4,     -2
   260,           ,      8,      1,     -2
   261,           ,     17,     -2,     -3
   262,           ,     10,      4,     -4
   263,           ,      9,      2,     -1
   264,           ,      9,     -2,     -2
   265,           ,      7,      4,     -7
   266,           ,     12,     -1,     -2
   267,           ,     10,     -4,     -2
   268,           ,      3,     -4,     -4
   269,           ,     -3,      1,     -8
   270,           ,     -3,      1,     -6
   271,           ,     -3,     -1,     -7
   272,           ,     -2,     -2,     -7
   273,           ,     -3,     -3,      1
   274,           ,     -4,     -3,      0
   275,           ,     -7,      1,     -1
   276,           ,      3,      3,      2
