server time    : 2020-10-28 16:01:53(1603868513)
delay time     : 2.557
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
     1,      0.458,      4,      3,      0
     2,           ,      5,     -1,     -2
     3,           ,      3,     -2,      2
     4,           ,      0,     -5,      4
     5,           ,     -4,     -2,      2
     6,           ,      0,      1,      2
     7,           ,      2,      3,      1
     8,           ,      7,     -2,     -4
     9,           ,      4,     -4,     -2
    10,           ,     -5,      2,      1
    11,           ,     -1,     -1,      2
    12,           ,      2,      2,      2
    13,           ,     -3,     -2,      3
    14,           ,      2,     -3,      4
    15,           ,      4,     -2,      0
    16,           ,     -6,      0,      0
    17,           ,      4,     -1,     -3
    18,           ,      0,      1,     -1
    19,           ,     -1,     -4,     -1
    20,           ,     -2,      0,      0
    21,           ,     -2,      4,      0
    22,           ,      0,      2,     -2
    23,           ,      6,      2,      2
    24,           ,      3,      3,      5
    25,           ,     -2,     -3,      3
    26,           ,     -1,      3,     -3
    27,           ,      0,     -1,      2
    28,           ,      3,     -2,      4
    29,           ,      2,     -1,      7
    30,           ,      0,     -2,      4
    31,           ,     -1,     -1,      0
    32,           ,      6,      4,      1
    33,           ,      0,      3,      4
    34,           ,      2,      0,      3
    35,           ,     -4,     -1,     -2
    36,           ,     -2,      4,     -3
    37,           ,      4,     -2,      1
    38,           ,      0,     -1,      0
    39,           ,     -3,     -1,      2
    40,           ,     -4,      3,      3
    41,           ,     -5,      5,     -2
    42,           ,      3,      1,      2
    43,           ,     -3,     -1,      0
    44,           ,      4,     -2,      2
    45,           ,     -3,      5,     -2
    46,           ,     -8,      6,      0
    47,           ,      3,     -2,     -1
    48,           ,     -3,      2,     -3
    49,           ,     -1,     -1,     -3
    50,           ,     -5,      3,      1
    51,           ,     -2,     -3,     -1
    52,           ,      2,     -1,      0
    53,           ,      3,     -4,     -2
    54,           ,      4,     -2,      2
    55,           ,     -4,      0,     -5
    56,           ,     -3,      1,     -5
    57,           ,     -1,     -4,      0
    58,           ,      3,     -4,      0
    59,           ,      5,     -2,     -2
    60,           ,      1,     -3,     -3
    61,           ,     -3,      2,      2
    62,           ,      6,     -2,     -7
    63,           ,     -1,     -6,      0
    64,           ,      0,     -2,     -1
    65,           ,     -4,     -6,      2
    66,           ,     -3,      4,     -7
    67,           ,     -2,      1,      0
    68,           ,     -2,     -1,     -4
    69,           ,      4,     -1,      4
    70,           ,     -3,      4,      3
    71,           ,      4,      2,      3
    72,           ,      4,      0,      2
    73,           ,      5,     -1,      6
    74,           ,      8,     -5,      4
    75,           ,      0,      1,      4
    76,           ,      0,      1,     -2
    77,           ,      5,      0,      1
    78,           ,     -2,     -3,      0
    79,           ,     -3,      1,      4
    80,           ,     -1,      1,     -2
    81,           ,     -2,      2,      1
    82,           ,      6,      1,     -2
    83,           ,     -1,     -3,      0
    84,           ,     -2,      2,      0
    85,           ,      0,      2,     -1
    86,           ,     -5,      0,      3
    87,           ,      0,      1,      0
    88,           ,     -2,     -3,      5
    89,           ,      6,      2,     -4
    90,           ,     -6,      1,     -2
    91,           ,     -5,      1,      2
    92,           ,      0,     -6,     -3
    93,           ,      4,     -2,     -2
    94,           ,     -1,     -1,     -2
    95,           ,     -2,     -3,      2
    96,           ,     -3,      3,      0
    97,           ,      0,      5,     -4
    98,           ,     -4,     -4,     -1
    99,           ,      3,     -3,      2
   100,           ,     -6,      3,     -6
   101,           ,     -1,      2,     -4
   102,           ,      2,      6,     -3
   103,           ,      0,     -6,      0
   104,           ,     -1,      1,      1
   105,           ,     -3,     -2,      3
   106,           ,     -3,      1,     -4
