server time    : 2020-11-05 17:07:24(1604563644)
delay time     : 2.551
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
     1,      0.457,     -1,      0,     -4
     2,           ,      1,     -3,     -5
     3,           ,      0,     -2,      0
     4,           ,      0,     -1,      2
     5,           ,     -4,      4,     -4
     6,           ,     -2,      0,     -2
     7,           ,      5,      0,      3
     8,           ,      1,     -1,     -1
     9,           ,      5,      5,      5
    10,           ,     -2,     -1,     -4
    11,           ,      1,      7,     -2
    12,           ,      1,      2,      1
    13,           ,      3,     -1,      2
    14,           ,      3,     -1,      4
    15,           ,     -2,      0,      4
    16,           ,     -1,      2,     -2
    17,           ,      7,     -5,     -2
    18,           ,      4,     -2,     -1
    19,           ,     -1,     -1,      3
    20,           ,     -1,     -1,      4
    21,           ,      1,      1,      4
    22,           ,      7,      3,      0
    23,           ,      5,     -1,      0
    24,           ,      5,     -1,      0
    25,           ,      0,      5,      2
    26,           ,      1,      3,      2
    27,           ,      5,     -2,      4
    28,           ,      0,      1,     -2
    29,           ,      1,     -2,     -2
    30,           ,     -3,     -2,      0
    31,           ,      0,      1,     -3
    32,           ,      4,     -3,      1
    33,           ,      1,      0,      0
    34,           ,      1,     -5,      1
    35,           ,     -3,      0,      1
    36,           ,     -3,     -3,     -4
    37,           ,      5,      2,     -2
    38,           ,      0,      2,      2
    39,           ,      1,     -4,      0
    40,           ,     -3,      1,     -4
    41,           ,      1,      1,     -1
    42,           ,      0,      1,     -3
    43,           ,     -4,     -2,      0
    44,           ,      5,     -2,      6
    45,           ,      3,     -3,      1
    46,           ,     -8,      7,     -2
    47,           ,      3,      1,     -1
    48,           ,      1,     -3,     -3
    49,           ,      0,      0,      2
    50,           ,     -2,      2,     -2
    51,           ,     -4,      1,     -6
    52,           ,      1,      0,     -1
    53,           ,      3,     -5,      2
    54,           ,      3,     -6,      3
    55,           ,     -3,     -6,     -1
    56,           ,     -2,      3,     -2
    57,           ,      3,      1,     -2
    58,           ,      2,     -3,     -1
    59,           ,     -1,     -3,      3
    60,           ,     -2,     -3,     -2
    61,           ,     -2,     -2,     -1
    62,           ,      2,      0,     -7
    63,           ,      0,     -6,     -4
    64,           ,      6,     -3,      0
    65,           ,     -4,     -2,     -1
    66,           ,     -2,      3,     -6
    67,           ,      1,     -2,     -4
    68,           ,      1,     -1,      0
    69,           ,      3,     -1,      2
    70,           ,     -5,      0,     -2
    71,           ,      1,      4,     -3
    72,           ,      5,      0,      1
    73,           ,      1,     -1,      4
    74,           ,      1,      0,      0
    75,           ,      1,     -3,      4
    76,           ,      1,      1,     -1
    77,           ,      1,     -2,     -4
    78,           ,      1,     -3,      3
    79,           ,      1,     -3,      2
    80,           ,     -2,      4,      2
    81,           ,      1,      1,      2
    82,           ,      5,     -3,      0
    83,           ,      6,     -3,      3
    84,           ,      4,      1,      1
    85,           ,      0,      1,     -2
    86,           ,     -4,      0,     -3
    87,           ,      4,     -2,     -3
    88,           ,     -1,      3,      2
    89,           ,     -1,      2,      1
    90,           ,     -5,      5,     -3
    91,           ,      1,      3,      0
    92,           ,      3,      1,     -2
    93,           ,      3,      2,     -2
    94,           ,     -2,      1,     -1
    95,           ,     -1,      3,     -2
    96,           ,      0,      1,      0
    97,           ,      5,      0,      2
    98,           ,      4,     -6,      0
    99,           ,      1,      0,      0
   100,           ,     -4,      1,      1
   101,           ,     -1,      3,      2
   102,           ,      1,     -1,     -5
   103,           ,      4,     -5,      1
   104,           ,      1,     -1,      2
   105,           ,     -2,     -3,     -1
   106,           ,     -2,      2,     -5
   107,           ,      0,      0,     -2
   108,           ,     -1,     -1,      2
   109,           ,      1,      4,     -3
   110,           ,      0,      0,     -1
   111,           ,      3,     -1,     -5
   112,           ,      5,      3,     -4
   113,           ,      5,     -4,      0
   114,           ,      3,     -2,      3
   115,           ,      1,      0,     -4
