accelometer ODR: 3200 Hz
total # of rows: 117
counter, adxl X, vari X, adxl Y, vari Y, adxl Z, vari Z, Temp.,   light, magnet X, magnet Y, magnet Z
      0,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00,  0.00,  58.680,      0.0,      0.0,      0.0
      1,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.40,  58.680,      0.0,      0.0,      0.0
      2,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.40,  58.680,     69.1,    185.6,     11.8
      3,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.40,  58.680,     69.1,    185.6,     11.8
      4,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.40,  58.680,   -157.8,   -113.2,     78.3
      5,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.40,  58.680,   -157.8,   -113.2,     78.3
      6,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.40,  58.680,   -138.9,    -90.1,     73.4
      7,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.40,  58.680,   -138.9,    -90.1,     73.4
      8,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.40,  58.680,   -122.3,    -67.3,     68.8
      9,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.40,  58.680,   -122.3,    -67.3,     68.8
     10,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.40,  58.680,   -104.9,    -47.8,     63.9
     11,    0.0,   0.59,    0.0,   0.26,    0.0,   0.45, 24.40,  58.680,   -104.9,    -47.8,     63.9
     12,    0.0,   0.59,    0.0,   0.26,    0.0,   0.45, 24.40,  58.680,   -104.9,    -47.8,     63.9
     13,    0.1,   0.61,    0.0,   0.23,    0.0,   0.41, 24.40,  58.680,   -104.9,    -47.8,     63.9
     14,    0.1,   0.61,    0.0,   0.23,    0.0,   0.41, 24.40,  58.680,   -182.7,   -139.3,     90.9
     15,    0.0,   0.58,    0.0,   0.20,    0.0,   0.37, 24.40,  58.680,   -182.7,   -139.3,     90.9
     16,    0.0,   0.58,    0.0,   0.20,    0.0,   0.37, 24.40,  58.680,   -182.7,   -139.3,     90.9
     17,    0.0,   0.56,    0.0,   0.22,    0.0,   0.39, 24.40,  58.680,   -182.7,   -139.3,     90.9
     18,    0.0,   0.56,    0.0,   0.22,    0.0,   0.39, 24.40,  58.680,   -187.4,   -145.1,     92.4
     19,    0.0,   0.65,    0.0,   0.20,    0.0,   0.39, 24.40,  58.680,   -187.4,   -145.1,     92.4
     20,    0.0,   0.61,    0.0,   0.22,    0.0,   0.45, 24.40,  58.680,   -187.4,   -145.1,     92.4
     21,    0.0,   0.61,    0.0,   0.22,    0.0,   0.45, 24.40,  58.680,   -187.4,   -145.1,     92.4
     22,    0.0,   0.61,    0.0,   0.22,    0.0,   0.45, 24.40,  58.680,   -191.8,   -153.8,     93.2
     23,    0.0,   0.59,    0.0,   0.22,    0.0,   0.42, 24.40,  58.680,   -191.8,   -153.8,     93.2
     24,    0.0,   0.59,    0.0,   0.20,    0.0,   0.48, 24.40,  58.680,   -191.8,   -153.8,     93.2
     25,    0.0,   0.59,    0.0,   0.20,    0.0,   0.48, 24.40,  58.680,   -191.8,   -153.8,     93.2
     26,    0.0,   0.62,    0.0,   0.25,    0.0,   0.34, 24.40,  58.680,   -191.8,   -153.8,     93.2
     27,    0.0,   0.62,    0.0,   0.25,    0.0,   0.34, 24.40,  58.680,   -195.0,   -161.8,     94.7
     28,    0.0,   0.61,    0.0,   0.23,    0.0,   0.45, 24.40,  58.680,   -195.0,   -161.8,     94.7
     29,    0.0,   0.61,    0.0,   0.23,    0.0,   0.45, 24.40,  58.680,   -195.0,   -161.8,     94.7
     30,    0.0,   0.62,    0.0,   0.18,    0.0,   0.41, 24.40,  58.680,   -195.0,   -161.8,     94.7
     31,    0.0,   0.62,    0.0,   0.18,    0.0,   0.41, 24.40,  58.680,   -199.4,   -172.6,     95.4
     32,    0.0,   0.58,    0.0,   0.23,    0.0,   0.42, 24.40,  58.680,   -199.4,   -172.6,     95.4
     33,    0.0,   0.58,    0.0,   0.23,    0.0,   0.42, 24.40,  58.680,   -199.4,   -172.6,     95.4
