server time    : 2020-10-28 16:05:35(1603868735)
delay time     : 1.904
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
   189,           ,     -9,     -3,      4
   190,           ,     -7,     -3,     10
   191,           ,     -6,     -3,      5
   192,           ,      3,     -8,      9
   193,           ,     -4,      3,     11
   194,           ,      2,      2,      5
   195,           ,      8,      5,     11
   196,           ,      7,      3,      8
   197,           ,      7,      2,     10
   198,           ,     15,      5,     10
   199,           ,      7,      9,     -2
   200,           ,     11,     11,      5
   201,           ,     13,     11,     -2
   202,           ,     12,      9,     -3
   203,           ,      8,      9,     -2
   204,           ,      6,      4,     -8
   205,           ,      0,      6,    -12
   206,           ,      2,      3,    -11
   207,           ,      0,      0,    -10
   208,           ,     -3,     -3,     -8
   209,           ,     -8,      1,     -7
   210,           ,     -9,      1,     -7
   211,           ,     -9,     -7,     -6
   212,           ,     -7,     -6,     -8
   213,           ,     -3,     -7,     -1
   214,           ,    -12,     -5,      0
   215,           ,    -11,     -4,      7
   216,           ,     -2,     -5,     11
   217,           ,      0,     -1,      7
   218,           ,      5,     -5,     14
   219,           ,      6,      1,     13
   220,           ,      0,     -2,     10
   221,           ,      7,      3,     10
   222,           ,     11,      4,      8
   223,           ,     10,      6,      8
   224,           ,      6,      7,      5
   225,           ,     12,      9,      4
   226,           ,      8,     11,      2
   227,           ,     11,      6,      2
   228,           ,     12,      8,     -1
   229,           ,      5,      3,      0
   230,           ,      5,     -2,     -6
   231,           ,      8,      6,    -11
   232,           ,      7,      0,    -10
   233,           ,      2,      2,     -6
   234,           ,     -2,     -3,    -10
   235,           ,     -5,      2,     -8
   236,           ,     -5,     -4,     -9
   237,           ,     -7,    -11,     -6
   238,           ,     -9,     -4,     -1
   239,           ,    -10,     -8,      3
   240,           ,    -12,     -3,     -3
   241,           ,     -6,     -9,      6
   242,           ,      2,     -4,      6
   243,           ,     -3,     -3,      9
   244,           ,     -1,     -3,     10
   245,           ,     -1,      1,     10
   246,           ,      4,      5,      7
   247,           ,      6,     -2,      8
   248,           ,      9,      3,      7
   249,           ,      5,      9,      5
   250,           ,      6,      8,      1
