accelometer ODR: 3200 Hz
total # of rows: 113
counter, adxl X, vari X, adxl Y, vari Y, adxl Z, vari Z, Temp.,   light, magnet X, magnet Y, magnet Z
      0,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00,  0.00,  45.540,      0.0,      0.0,      0.0
      1,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.20,  45.540,      0.0,      0.0,      0.0
      2,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.20,  45.540,    -73.1,    -11.6,     58.4
      3,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.20,  45.540,    -73.1,    -11.6,     58.4
      4,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.20,  45.540,    -73.8,    -11.6,     57.3
      5,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.20,  45.540,    -73.8,    -11.6,     57.3
      6,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.20,  45.540,    -74.9,    -11.6,     58.1
      7,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.20,  45.540,    -74.9,    -11.6,     58.1
      8,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.20,  45.540,    -72.8,    -11.9,     58.5
      9,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.20,  45.540,    -72.8,    -11.9,     58.5
     10,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 24.20,  45.540,    -73.4,    -11.2,     57.8
     11,    0.0,   0.10,    0.0,   0.07,    0.0,   0.07, 24.20,  45.540,    -73.4,    -11.2,     57.8
     12,    0.0,   0.10,    0.0,   0.07,    0.0,   0.07, 24.20,  45.540,    -73.4,    -11.2,     57.8
     13,    0.0,   0.12,    0.0,   0.08,    0.0,   0.06, 24.20,  45.540,    -73.4,    -11.2,     57.8
     14,    0.0,   0.12,    0.0,   0.08,    0.0,   0.06, 24.20,  45.540,    -73.8,    -11.2,     58.5
     15,    0.0,   0.14,    0.0,   0.08,    0.0,   0.06, 24.20,  45.540,    -73.8,    -11.2,     58.5
     16,    0.0,   0.14,    0.0,   0.08,    0.0,   0.06, 24.20,  45.540,    -73.8,    -11.2,     58.5
     17,    0.0,   0.11,    0.0,   0.08,    0.0,   0.07, 24.20,  45.540,    -73.8,    -11.2,     58.5
     18,    0.0,   0.11,    0.0,   0.08,    0.0,   0.07, 24.20,  45.540,    -72.4,    -11.6,     58.1
     19,    0.0,   0.12,    0.0,   0.06,    0.0,   0.07, 24.20,  45.540,    -72.4,    -11.6,     58.1
     20,    0.0,   0.10,    0.0,   0.07,    0.0,   0.06, 24.20,  45.540,    -72.4,    -11.6,     58.1
     21,    0.0,   0.10,    0.0,   0.07,    0.0,   0.06, 24.20,  45.540,    -72.4,    -11.6,     58.1
     22,    0.0,   0.10,    0.0,   0.07,    0.0,   0.06, 24.20,  45.540,    -73.4,    -11.2,     58.9
     23,    0.0,   0.11,    0.0,   0.07,    0.0,   0.06, 24.20,  45.540,    -73.4,    -11.2,     58.9
     24,    0.0,   0.11,    0.0,   0.06,    0.0,   0.09, 24.20,  45.540,    -73.4,    -11.2,     58.9
     25,    0.0,   0.11,    0.0,   0.06,    0.0,   0.09, 24.20,  45.540,    -73.4,    -11.2,     58.9
     26,    0.0,   0.10,    0.0,   0.08,    0.0,   0.07, 24.20,  45.540,    -73.4,    -11.2,     58.9
     27,    0.0,   0.10,    0.0,   0.08,    0.0,   0.07, 24.20,  45.540,    -73.8,    -11.9,     56.6
     28,    0.0,   0.10,    0.0,   0.08,    0.0,   0.07, 24.20,  45.540,    -73.8,    -11.9,     56.6
     29,    0.0,   0.11,    0.0,   0.07,    0.0,   0.08, 24.20,  45.540,    -73.8,    -11.9,     56.6
     30,    0.0,   0.11,    0.0,   0.07,    0.0,   0.08, 24.20,  45.540,    -73.1,    -11.2,     57.7
     31,    0.0,   0.11,    0.0,   0.06,    0.0,   0.08, 24.20,  45.540,    -73.1,    -11.2,     57.7
     32,    0.0,   0.11,    0.0,   0.06,    0.0,   0.08, 24.20,  45.540,    -73.1,    -11.2,     57.7
     33,    0.0,   0.10,    0.0,   0.07,    0.0,   0.07, 24.20,  45.540,    -73.1,    -11.2,     57.7
     34,    0.0,   0.10,    0.0,   0.07,    0.0,   0.07, 24.20,  45.540,    -73.1,    -11.9,     57.7
     35,    0.0,   0.10,    0.0,   0.07,    0.0,   0.08, 24.20,  45.540,    -73.1,    -11.9,     57.7
     36,    0.0,   0.10,    0.0,   0.07,    0.0,   0.07, 24.20,  45.540,    -73.1,    -11.9,     57.7
     37,    0.0,   0.10,    0.0,   0.07,    0.0,   0.07, 24.20,  45.540,    -73.8,    -11.6,     59.2
     38,    0.0,   0.12,    0.0,   0.08,    0.0,   0.07, 24.20,  45.540,    -73.8,    -11.6,     59.2
     39,    0.0,   0.10,    0.0,   0.07,    0.0,   0.07, 24.20,  45.540,    -73.8,    -11.6,     59.2
     40,    0.0,   0.10,    0.0,   0.07,    0.0,   0.07, 24.20,  45.540,    -73.8,    -11.6,     59.2
