accelometer ODR: 3200 Hz
total # of rows: 116
counter, adxl X, vari X, adxl Y, vari Y, adxl Z, vari Z, Temp.,   light, magnet X, magnet Y, magnet Z
      0,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00,  0.00, 191.520,      0.0,      0.0,      0.0
      1,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 22.21, 191.520,      0.0,      0.0,      0.0
      2,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 22.21, 191.520,      6.8,    -14.5,     29.2
      3,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 22.21, 191.520,      6.8,    -14.5,     29.2
      4,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 22.21, 191.520,      7.2,    -15.2,     29.6
      5,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 22.21, 191.520,      7.2,    -15.2,     29.6
      6,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 22.21, 191.520,      7.9,    -14.1,     28.9
      7,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 22.21, 191.520,      7.9,    -14.1,     28.9
      8,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 22.21, 191.520,      7.9,    -14.1,     29.2
      9,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 22.21, 191.520,      7.9,    -14.1,     29.2
     10,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 22.21, 191.520,      7.2,    -13.8,     29.2
     11,    0.0,   0.09,    0.0,   0.07,    0.0,   0.06, 22.21, 191.520,      7.2,    -13.8,     29.2
     12,    0.0,   0.09,    0.0,   0.07,    0.0,   0.06, 22.21, 191.520,      7.2,    -13.8,     29.2
     13,    0.0,   0.10,    0.0,   0.08,    0.0,   0.07, 22.21, 191.520,      7.2,    -13.8,     29.2
     14,    0.0,   0.10,    0.0,   0.08,    0.0,   0.07, 22.21, 191.520,      7.2,    -14.1,     28.5
     15,    0.0,   0.10,    0.0,   0.10,    0.0,   0.09, 22.21, 191.520,      7.2,    -14.1,     28.5
     16,    0.0,   0.10,    0.0,   0.10,    0.0,   0.09, 22.21, 191.520,      7.2,    -14.1,     28.5
     17,    0.0,   0.11,    0.0,   0.07,    0.0,   0.08, 22.21, 191.520,      7.2,    -14.1,     28.5
     18,    0.0,   0.11,    0.0,   0.07,    0.0,   0.08, 22.21, 191.520,      8.2,    -14.1,     29.2
     19,    0.0,   0.11,    0.0,   0.08,    0.0,   0.07, 22.21, 191.520,      8.2,    -14.1,     29.2
     20,    0.0,   0.11,    0.0,   0.08,    0.0,   0.07, 22.21, 191.520,      8.2,    -14.1,     29.2
     21,    0.0,   0.12,    0.0,   0.10,    0.0,   0.08, 22.21, 191.520,      8.2,    -14.1,     29.2
     22,    0.0,   0.12,    0.0,   0.10,    0.0,   0.08, 22.21, 191.520,      7.6,    -14.1,     28.9
     23,    0.0,   0.10,    0.0,   0.08,    0.0,   0.07, 22.21, 191.520,      7.6,    -14.1,     28.9
     24,    0.0,   0.10,    0.0,   0.07,    0.0,   0.09, 22.21, 191.520,      7.6,    -14.1,     28.9
     25,    0.0,   0.10,    0.0,   0.07,    0.0,   0.09, 22.21, 191.520,      7.6,    -14.1,     28.9
     26,    0.0,   0.10,    0.0,   0.07,    0.0,   0.09, 22.21, 191.520,      7.9,    -13.8,     28.5
     27,    0.0,   0.11,    0.0,   0.08,    0.0,   0.08, 22.21, 191.520,      7.9,    -13.8,     28.5
     28,    0.0,   0.12,    0.0,   0.08,    0.0,   0.07, 22.21, 191.520,      7.9,    -13.8,     28.5
     29,    0.0,   0.12,    0.0,   0.08,    0.0,   0.07, 22.21, 191.520,      7.9,    -13.8,     28.5
     30,    0.0,   0.11,    0.0,   0.07,    0.0,   0.06, 22.21, 191.520,      7.9,    -13.8,     28.5
     31,    0.0,   0.11,    0.0,   0.07,    0.0,   0.06, 22.21, 191.520,      7.9,    -13.8,     28.5
