accelometer ODR: 3200 Hz
 Row #, X-AXIS, Y-AXIS, Z-AXIS
   240,      0,      4,     -4
   241,      0,      1,      2
   242,      1,     -2,      4
   243,     -1,      5,      5
   244,     -3,      3,     -3
   245,      5,      1,     -2
   246,      3,     -1,      7
   247,     -1,      1,      4
   248,     -3,     -1,      5
   249,      2,      0,     -5
   250,     -4,      1,     -1
   251,      2,     -4,      3
   252,      0,     -3,     -3
   253,      0,     -4,     -1
   254,     -2,      4,      1
   255,      0,      0,     -1
   256,      0,     -4,      2
   257,     -4,     -4,      3
   258,     -2,      2,     -1
   259,      0,      4,      0
   260,     -1,     -1,      0
   261,      2,     -4,     -1
   262,     -1,      0,      6
   263,     -6,     -1,      2
   264,      0,      5,     -5
   265,      3,      1,     -3
   266,      4,      0,      0
   267,      1,      0,      0
   268,     -1,     -3,      0
   269,     -2,      4,     -4
   270,      4,      1,     -5
   271,      7,     -2,      3
   272,      7,     -4,      0
   273,     -3,     -4,     -1
   274,     -5,      4,     -1
   275,     -1,     -3,     -2
   276,      1,      4,      3
   277,      1,     -2,      3
   278,     -2,     -1,      5
   279,      1,      0,      2
   280,     -1,      1,     -1
   281,      4,     -2,     -2
   282,      2,     -1,      2
   283,     -3,      1,      5
   284,     -1,      5,      2
   285,     -1,      4,      0
   286,      4,     -2,      4
   287,      0,      2,      5
   288,     -5,      1,      0
   289,      2,     -1,     -4
   290,      4,     -2,     -3
   291,      3,     -3,      0
   292,      0,     -4,     -1
   293,      0,     -2,     -2
   294,     -2,      1,     -2
   295,      1,     -2,     -2
   296,      0,     -2,      1
   297,      0,      5,      1
   298,      0,      4,      0
   299,     -1,      1,     -1
   300,      0,     -2,     -1
   301,     -4,      3,     -1
   302,      1,      3,     -3
   303,      1,      0,     -7
   304,      4,     -3,      0
   305,     -1,     -7,      2
   306,     -4,      0,      2
   307,     -3,      9,      1
   308,      0,      3,     -4
   309,      0,      0,     -1
   310,      2,     -2,      0
   311,     -1,      6,     -4
   312,      1,      5,     -3
   313,      0,     -2,      4
   314,      1,     -5,     -1
   315,     -1,     -1,      0
   316,      4,      4,      2
   317,      2,      4,     -1
   318,     -7,      6,      1
   319,      2,     -3,      1
   320,      1,     -5,      2
   321,      3,      4,      0
   322,      1,     -4,     -1
   323,      0,      3,      4
   324,      0,     -4,      0
   325,      0,     -1,     -3
   326,      1,      6,      1
   327,     -1,      0,      0
   328,      1,      2,     -1
   329,      2,     -5,     -3
   330,      1,      0,      1
   331,      4,      3,      0
   332,     -3,      4,     -4
   333,      2,      4,     -1
   334,      4,      0,      0
   335,      0,     -4,      3
   336,      0,      4,     -2
   337,     -2,      7,     -4
   338,      1,      3,     -2
   339,      6,     -3,      1
   340,      1,     -4,      4
   341,     -4,      5,      0
   342,      0,     -2,     -2
   343,      1,      4,     -2
   344,      2,      3,      1
   345,     -2,     -1,      4
   346,      0,      0,      4
   347,     -1,      0,     -5
   348,      0,     -3,      2
   349,      0,      0,     -1
   350,      3,      0,      3
   351,     -4,      8,      1
   352,     -3,      0,      1
   353,      2,      4,      3
   354,      2,     -4,      2
   355,     -7,      0,      9
   356,     -2,      2,      2
   357,     -2,     -4,     -7
   358,      0,      2,      1
   359,      4,     -5,      2
   360,      0,     -2,      3
   361,      2,      5,     -1
   362,      1,      2,      1
   363,      5,      2,      0
   364,      3,      2,      1
   365,     -2,     -4,      4
   366,      4,      0,      2
   367,     -1,      4,     -5
   368,      6,      4,     -2
   369,      1,     -2,      9
   370,      0,     -3,      1
   371,      0,      4,      5
   372,      0,      4,      2
   373,     -1,      2,      0
   374,      1,     -2,      0
   375,      2,     -5,      8
   376,      4,      3,     -1
   377,     -5,      4,     -2
   378,      4,      2,     -1
   379,     -1,      4,     -1
   380,     -2,     -1,      2
   381,      0,      6,      0
   382,     -2,      8,     -2
   383,     -2,      5,     -5
   384,      3,     -3,     -4
   385,      2,     -2,      1
   386,     -3,      2,      5
   387,      1,      0,     -4
   388,      2,     -2,      3
   389,      4,      0,     -3
   390,      5,      0,      4
   391,     -1,      0,      2
   392,      2,      4,      3
   393,      0,      0,     -2
   394,      1,      0,      1
   395,      2,      3,      0
   396,      2,      4,      3
   397,     -2,      0,     -5
   398,      1,      3,     -4
   399,      1,     -3,      1
   400,     -1,     -3,      2
   401,     -2,     -2,      0
   402,      1,     -2,     -4
   403,      0,      5,     -2
   404,     -4,     -4,     -1
   405,      1,     -1,      3
   406,     -6,     -2,      4
   407,      1,      1,     -3
   408,     -2,     -5,     -3
   409,      3,     -2,     -3
   410,     -2,      3,      5
   411,      0,      5,     -1
   412,      4,      8,      1
   413,      2,     -2,      3
   414,      3,     -1,      1
   415,      1,      4,      5
   416,     -1,      5,      5
   417,     -2,      0,      3
   418,     -2,     -1,      4
   419,      1,      2,      1
   420,      5,      0,      5
   421,     -1,      3,      1
   422,      0,      5,     -1
   423,      4,      2,     -5
   424,      3,     -1,      1
   425,      1,     -4,      0
   426,     -3,      6,      1
   427,     -4,      4,      4
   428,     -1,      2,      1
   429,      2,     -5,      3
   430,      0,      0,      1
   431,      0,      5,     -2
   432,     -3,     -4,      1
   433,      1,      0,     -2
   434,      2,     -1,      1
   435,     -3,      0,     -1
   436,     -2,      0,      2
   437,      1,     -4,      1
   438,     -1,      0,     -2
   439,      0,     -1,     -1
   440,      1,     -4,      1
   441,      0,      4,      1
   442,      0,      3,     -1
   443,      1,      0,     -1
   444,     -4,      4,      2
   445,     -5,      9,     -2
   446,      5,     -1,     -9
   447,      1,      0,     -1
   448,      7,     -6,      4
   449,     -3,     -3,      0
   450,      0,      2,     -4
   451,      7,      3,     -4
   452,      0,     -4,     -2
   453,     -1,      0,      0
   454,     -2,     -1,      2
   455,     -2,      1,      1
   456,      4,     -2,     -1
   457,     -1,     -4,     -2
   458,      3,      1,      1
   459,     -4,     -1,      0
   460,     -2,      0,     -2
   461,      3,     -3,     -3
   462,      3,      4,      0
   463,     -2,     -1,      3
   464,     -3,     -2,     -2
   465,     -3,      2,      0
   466,     -1,      1,      0
   467,      5,     -3,     -1
   468,      2,      1,     -3
   469,      2,     -4,     -1
   470,     -2,      2,     -1
   471,     -1,     -5,     -2
   472,     -1,      1,      6
   473,      0,      0,      1
   474,      0,     -2,      4
   475,     -5,      7,      2
   476,      5,      1,     -3
   477,      5,     -8,      1
   478,     -1,     -3,      1
   479,      3,     -2,      4
   480,     -4,      1,     -1
