accelometer ODR: 3200 Hz
total # of rows: 117
counter, adxl X, vari X, adxl Y, vari Y, adxl Z, vari Z, Temp.,   light, magnet X, magnet Y, magnet Z
      0,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00,  0.00,  63.000,      0.0,      0.0,      0.0
      1,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.42,  63.000,      0.0,      0.0,      0.0
      2,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.42,  63.000,     52.4,    -84.9,   -173.4
      3,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.42,  63.000,     52.4,    -84.9,   -173.4
      4,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.42,  63.000,    235.3,     18.1,    166.4
      5,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.42,  63.000,    235.3,     18.1,    166.4
      6,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.42,  63.000,    246.5,     13.7,    156.8
      7,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.42,  63.000,    246.5,     13.7,    156.8
      8,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.42,  63.000,    264.9,      7.6,    141.1
      9,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.42,  63.000,    264.9,      7.6,    141.1
     10,    0.0,   0.00,    0.0,   0.00,    0.0,   0.00, 23.42,  63.000,    275.8,      4.7,    125.9
     11,    0.0,   0.25,    0.0,   0.23,    0.0,   0.11, 23.42,  63.000,    275.8,      4.7,    125.9
     12,    0.0,   0.25,    0.0,   0.23,    0.0,   0.11, 23.42,  63.000,    275.8,      4.7,    125.9
     13,    0.0,   0.25,    0.0,   0.19,    0.0,   0.13, 23.42,  63.000,    275.8,      4.7,    125.9
     14,    0.0,   0.25,    0.0,   0.19,    0.0,   0.13, 23.42,  63.000,   -184.8,     -3.3,     28.7
     15,    0.0,   0.25,    0.0,   0.22,    0.0,   0.10, 23.42,  63.000,   -184.8,     -3.3,     28.7
     16,    0.0,   0.25,    0.0,   0.22,    0.0,   0.10, 23.42,  63.000,   -184.8,     -3.3,     28.7
     17,    0.0,   0.27,    0.0,   0.21,    0.0,   0.10, 23.42,  63.000,   -184.8,     -3.3,     28.7
     18,    0.0,   0.27,    0.0,   0.21,    0.0,   0.10, 23.42,  63.000,   -176.8,      1.4,     40.1
     19,    0.0,   0.23,    0.0,   0.16,    0.0,   0.12, 23.42,  63.000,   -176.8,      1.4,     40.1
