accelometer ODR: 3200 Hz
 Row #, X-AXIS, Y-AXIS, Z-AXIS
     1,     -8,     -3,     -3
     2,     -3,      1,     -8
     3,     -4,     -5,     -8
     4,      2,     -2,     -1
     5,     -5,     -7,     -5
     6,    -10,     -1,     -6
     7,     -7,      0,     -3
     8,     -3,     -6,     -1
     9,     -4,     -1,     -3
    10,     -2,     -3,     -1
    11,     -9,      2,     -2
    12,     -5,     -4,     -4
    13,      1,     -2,      0
    14,     -5,     -3,     -1
    15,     -4,     -3,      0
    16,     -9,      1,     -3
    17,     -2,     -1,     -1
    18,      1,     -7,      2
    19,     -2,     -1,      1
    20,     -4,     -4,      1
    21,     -8,      3,     -2
    22,     -3,     -2,     -4
    23,     -4,     -5,      0
    24,     -5,     -1,     -1
    25,     -8,      1,      1
    26,     -9,     -3,     -4
    27,     -5,     -3,     -2
    28,     -4,     -3,      1
    29,     -3,     -3,      5
    30,     -1,     -1,      2
    31,     -5,      2,      1
    32,     -1,      0,      1
    33,     -4,     -2,      2
    34,     -4,      1,      6
    35,     -8,     -1,      3
    36,      1,      0,      3
    37,     -2,      1,      2
    38,      0,     -4,      1
    39,      1,     -4,      7
    40,     -7,      2,      6
    41,     -4,      2,      3
    42,     -1,     -6,      2
    43,      3,     -1,      8
    44,      5,      1,      7
    45,     -5,     -1,      5
    46,     -4,     -1,      5
    47,      3,     -2,      0
    48,      2,      0,      6
    49,      2,      0,      9
    50,     -2,      2,      9
    51,     -4,      3,      2
    52,      1,     -1,      9
    53,     -3,      0,      2
    54,      6,      1,      7
    55,      1,      2,      9
    56,     -1,      0,      7
    57,     -1,      1,      2
    58,      4,      0,      7
    59,      3,     -2,      9
    60,     -2,      7,      9
    61,      2,      1,      5
    62,      3,      0,      8
    63,      3,     -3,      6
    64,      6,     -2,      8
    65,      2,     -1,      9
    66,     -2,      2,      6
    67,      1,     -1,      7
    68,      6,     -1,      7
    69,      7,      2,      7
    70,      2,      3,      9
    71,      3,      2,      9
    72,      6,     -3,     11
    73,      7,     -2,     10
    74,      5,     -2,     14
    75,     -2,      3,      7
    76,      2,      3,     10
    77,      6,      0,      9
